257,LKQ Corporation,Auto parts,"12,506",5.30%,"51,000","Chicago, Illinois"
258,Sempra Energy,Energy utilities,"12,443",6.50%,"13,969","San Diego, California"
259,Edison International,Energy utilities,"12,347",2.40%,"12,937","Rosemead, California"
260,CenterPoint Energy,Energy utilities,"12,301",16.20%,"14,262","Houston, Texas"
261,Quanta Services,Engineering,"12,112",8.40%,"40,300","Houston, Texas"
262,Murphy USA,Petroleum industry,"12,101",3.40%,"7,250","El Dorado, Arkansas"
263,Expedia Group,Technology,"12,067",7.50%,"25,400","Seattle, Washington"
264,Group 1 Automotive,Auto retailer,"12,044",3.80%,"15,296","Houston, Texas"
265,Bed Bath & Beyond,Retail,"12,029",2.60%,"62,000","Springfield, New Jersey"
266,Unum,Insurance,"11,999",3.50%,"10,300","Chattanooga, Tennessee"
267,CSX Corporation,Rail transportation,"11,937",2.60%,"20,908","Jacksonville, Florida"
268,AutoZone,Auto retailer,"11,864",5.70%,"75,840","Memphis, Tennessee"
269,Pacific Life,Insurance,"11,847",10.70%,"3,815","San Diego, California"
270,Vistra Energy,Energy,"11,809",29.10%,"5,475","Irving, Texas"
271,Charles Schwab Corporation,Financials,"11,785",7.20%,"19,700","Westlake, Texas"
272,Crown Holdings,Packaging,"11,665",4.60%,"33,043","Philadelphia, Pennsylvania"
273,Ally Financial,Financials,"11,618",11.00%,"8,700","Detroit, Michigan"
274,LabCorp,Healthcare,"11,555",2.00%,"65,000","Burlington, North Carolina"
275,Live Nation Entertainment,Entertainment,"11,548",7.00%,"18,200","Beverly Hills, California"
276,Xcel Energy,Energy utilities,"11,529",0.10%,"11,295","Minneapolis, Minnesota"
277,Corning ,Manufacturing,"11,503",1.90%,"49,500","Corning, New York"
278,W. W. Grainger,Industrial supply,"11,486",2.40%,"24,550","Chicago, Illinois"
279,Ball Corporation,Packaging,"11,474",1.40%,"18,300","Broomfield, Colorado"
280,Fox Corporation,Media,"11,389",...,"7,700","New York City, New York"
281,Universal Health Services,Healthcare,"11,378",5.60%,"79,050","King of Prussia, Pennsylvania"
282,Baxter International,Medical devices,"11,362",2.40%,"50,000","Chicago, Illinois"
283,Norfolk Southern Corp,Transportation,"11,296",1.40%,"24,587","Norfolk, Virginia"
284,Navistar International,Automotive,"11,251",9.80%,"12,300","Lisle, Illinois"
285,Adobe ,Technology,"11,171",23.70%,"22,634","San Jose, California"
286,J.C. Penney,Retail,"11,167",7.10%,"90,000","Plano, Texas"
287,"Discovery, ",Media,"11,144",5.60%,"9,200","Silver Spring, Maryland"
288,Keurig Dr Pepper,Food processing,"11,120",49.40%,"25,500","Burlington, Massachusetts"
289,Leidos,Defense engineering,"11,094",8.80%,"34,000","Reston, Virginia"
290,IQVIA,Healthcare,"11,088",6.50%,"67,000","Durham, North Carolina"
291,Reliance Steel & Aluminum Co.,Steel,"10,974",4.90%,"15,300","Los Angeles, California"
292,Nvidia,Semiconductors,"10,918",6.80%,"13,775","Santa Clara, California"
293,Entergy Corp,Energy Utility,"10,879",1.20%,"13,635","New Orleans, Louisiana"
294,FirstEnergy,Electric Utility,"10,850",8.50%,"12,316","Akron, Ohio"
295,eBay,Retail,"10,800",0.50%,"13,300","San Jose, California"
296,Boston Scientific,Medical devices,"10,735",9.30%,"36,000","Marlborough, Massachusetts"
297,Office Depot,Office retail,"10,647",4.30%,"40,000","Boca Raton, Florida"
298,Molson Coors Beverage Company,Beverages,"10,579",1.80%,"17,700","Chicago, Illinois"
299,Steel Dynamics,Steel manufacturing,"10,465",11.50%,"8,385","Fort Wayne, Indiana"
300,Mutual of Omaha,Financial Service,"10,456",11.90%,"6,072","Omaha, Nebraska"
301,Sonic Automotive,Auto retailer,"10,454",5.10%,"9,300","Charlotte, North Carolina"
302,Alcoa,Manufacturing,"10,433",22.20%,"13,800","Pittsburgh, Pennsylvania"
303,FIS,Financial Technology,"10,333",22.70%,"55,000","Jacksonville, Florida"
304,Henry Schein,Healthcare,"10,305",21.90%,"19,000","New York City, New York"
305,Republic Services,Waste management,"10,299",2.60%,"36,000","Phoenix, Arizona"
306,Liberty Media,Media,"10,292",28.00%,"6,753","Englewood, Colorado"
307,Kiewit Corporation,Construction,"10,283",13.90%,"23,000","Omaha, Nebraska"
308,Interpublic Group of Companies,Advertising,"10,221",5.20%,"54,300","New York City, New York"
309,PulteGroup,Construction,"10,213",0.20%,"5,245","Atlanta, Georgia"
310,AES Corporation,Electric utility,"10,189",5.10%,"8,000","Arlington, Virginia"
311,Fiserv,Financials,"10,187",74.90%,"44,000","Brookfield, Wisconsin,"
312,BorgWarner,Automotive,"10,168",3.40%,"29,000","Auburn Hills, Michigan"
313,Oneok,Petroleum industry,"10,164",19.30%,"2,882","Tulsa, Oklahoma"
314,O'Reilly Auto Parts,Auto retailer,"10,150",6.40%,"67,663","Springfield, Missouri"
315,Assurant,Insurance,"10,087",25.20%,"13,900","New York City, New York"
316,Newell Brands,Consumer goods,"10,083",22.60%,"30,000","Atlanta, Georgia"
317,Public Service Enterprise Group,Utilities,"10,076",3.90%,"12,992","Newark, New Jersey"
318,News Corp,Media,"10,074",11.60%,"28,000","New York City, New York"
319,Calpine,Energy,"10,072",5.90%,"2,256","Houston, Texas"
320,Auto-Owners Insurance,Insurance,"10,007",25.10%,"6,141","Lansing, Michigan"
321,Mohawk Industries,Manufacturing,"9,971",0.10%,"41,800","Calhoun, Georgia"
322,Campbell Soup Company,Food processing,"9,909",14.10%,"19,000","Camden, New Jersey"
323,PVH,Apparel,"9,909",2.60%,"30,750","New York City, New York"
324,NRG Energy,Energy,"9,871",8.60%,"4,577","Princeton, New Jersey"
325,Fifth Third Bank,Financials,"9,790",22.80%,"19,869","Cincinnati, Ohio"
326,Hertz Corporation,Auto retailer,"9,779",2.90%,"38,000","Estero, Florida"
327,Altice USA,Telecommunications,"9,761",2.00%,"10,700","New York City, New York"
328,Newmont Corporation,Mining,"9,740",34.30%,"16,600","Greenwood Village, Colorado"
329,Cheniere Energy,Energy,"9,730",21.80%,"1,530","Houston, Texas"
330,Advance Auto Parts,Auto retailer,"9,709",1.30%,"53,000","Raleigh, North Carolina"
331,Lam Research,Semiconductor,"9,654",12.90%,"10,700","Fremont, California"
332,Owens & Minor,Healthcare,"9,650",1.90%,"15,400","Mechanicsville, Virginia"
333,Equitable Holdings,Insurance,"9,591",20.60%,"10,100","New York City, New York"
334,Conagra Brands,Food processing,"9,538",20.20%,"18,000","Chicago, Illinois"
335,Markel Corporation,Insurance,"9,526",39.20%,"18,600","Tysons Corner, Virginia"
